id,company_id,name,price,created_at
1,1,Product 1,9.99,2024-01-01 00:00:00
2,2,Product 2,10.99,2024-01-01 00:00:00
3,3,Product 3,11.99,2024-01-01 00:00:00
4,4,Product 4,12.99,2024-01-01 00:00:00
5,5,Product 5,13.99,2024-01-01 00:00:00
6,6,Product 6,14.99,2024-01-01 00:00:00
7,7,Product 7,15.99,2024-01-01 00:00:00
8,8,Product 8,16.99,2024-01-01 00:00:00
9,9,Product 9,17.99,2024-01-01 00:00:00
10,10,Product 10,18.99,2024-01-01 00:00:00
11,11,Product 11,19.99,2024-01-01 00:00:00
12,12,Product 12,20.99,2024-01-01 00:00:00
13,13,Product 13,21.99,2024-01-01 00:00:00
14,14,Product 14,22.99,2024-01-01 00:00:00
15,15,Product 15,23.99,2024-01-01 00:00:00
16,16,Product 16,24.99,2024-01-01 00:00:00
17,17,Product 17,25.99,2024-01-01 00:00:00
18,18,Product 18,26.99,2024-01-01 00:00:00
19,19,Product 19,27.99,2024-01-01 00:00:00
20,20,Product 20,28.99,2024-01-01 00:00:00
21,1,Product 21,29.99,2024-01-01 00:00:00
22,2,Product 22,30.99,2024-01-01 00:00:00
23,3,Product 23,31.99,2024-01-01 00:00:00
24,4,Product 24,32.99,2024-01-01 00:00:00
25,5,Product 25,33.99,2024-01-01 00:00:00
26,6,Product 26,34.99,2024-01-01 00:00:00
27,7,Product 27,35.99,2024-01-01 00:00:00
28,8,Product 28,36.99,2024-01-01 00:00:00
29,9,Product 29,37.99,2024-01-01 00:00:00
30,10,Product 30,38.99,2024-01-01 00:00:00
31,11,Product 31,39.99,2024-01-01 00:00:00
32,12,Product 32,40.99,2024-01-01 00:00:00
33,13,Product 33,41.99,2024-01-01 00:00:00
34,14,Product 34,42.99,2024-01-01 00:00:00
35,15,Product 35,43.99,2024-01-01 00:00:00
36,16,Product 36,44.99,2024-01-01 00:00:00
37,17,Product 37,45.99,2024-01-01 00:00:00
38,18,Product 38,46.99,2024-01-01 00:00:00
39,19,Product 39,47.99,2024-01-01 00:00:00
40,20,Product 40,48.99,2024-01-01 00:00:00
41,1,Product 41,49.99,2024-01-01 00:00:00
42,2,Product 42,50.99,2024-01-01 00:00:00
43,3,Product 43,51.99,2024-01-01 00:00:00
44,4,Product 44,52.99,2024-01-01 00:00:00
45,5,Product 45,53.99,2024-01-01 00:00:00
46,6,Product 46,54.99,2024-01-01 00:00:00
47,7,Product 47,55.99,2024-01-01 00:00:00
48,8,Product 48,56.99,2024-01-01 00:00:00
49,9,Product 49,57.99,2024-01-01 00:00:00
50,10,Product 50,58.99,2024-01-01 00:00:00
51,11,Product 51,59.99,2024-01-01 00:00:00
52,12,Product 52,60.99,2024-01-01 00:00:00
53,13,Product 53,61.99,2024-01-01 00:00:00
54,14,Product 54,62.99,2024-01-01 00:00:00
55,15,Product 55,63.99,2024-01-01 00:00:00
56,16,Product 56,64.99,2024-01-01 00:00:00
57,17,Product 57,65.99,2024-01-01 00:00:00
58,18,Product 58,66.99,2024-01-01 00:00:00
59,19,Product 59,67.99,2024-01-01 00:00:00
60,20,Product 60,68.99,2024-01-01 00:00:00
61,1,Product 61,69.99,2024-01-01 00:00:00
62,2,Product 62,70.99,2024-01-01 00:00:00
63,3,Product 63,71.99,2024-01-01 00:00:00
64,4,Product 64,72.99,2024-01-01 00:00:00
65,5,Product 65,73.99,2024-01-01 00:00:00
66,6,Product 66,74.99,2024-01-01 00:00:00
67,7,Product 67,75.99,2024-01-01 00:00:00
68,8,Product 68,76.99,2024-01-01 00:00:00
69,9,Product 69,77.99,2024-01-01 00:00:00
70,10,Product 70,78.99,2024-01-01 00:00:00
71,11,Product 71,79.99,2024-01-01 00:00:00
72,12,Product 72,80.99,2024-01-01 00:00:00
73,13,Product 73,81.99,2024-01-01 00:00:00
74,14,Product 74,82.99,2024-01-01 00:00:00
75,15,Product 75,83.99,2024-01-01 00:00:00
76,16,Product 76,84.99,2024-01-01 00:00:00
77,17,Product 77,85.99,2024-01-01 00:00:00
78,18,Product 78,86.99,2024-01-01 00:00:00
79,19,Product 79,87.99,2024-01-01 00:00:00
80,20,Product 80,88.99,2024-01-01 00:00:00
81,1,Product 81,89.99,2024-01-01 00:00:00
82,2,Product 82,90.99,2024-01-01 00:00:00
83,3,Product 83,91.99,2024-01-01 00:00:00
84,4,Product 84,92.99,2024-01-01 00:00:00
85,5,Product 85,93.99,2024-01-01 00:00:00
86,6,Product 86,94.99,2024-01-01 00:00:00
87,7,Product 87,95.99,2024-01-01 00:00:00
88,8,Product 88,96.99,2024-01-01 00:00:00
89,9,Product 89,97.99,2024-01-01 00:00:00
90,10,Product 90,98.99,2024-01-01 00:00:00
91,11,Product 91,9.99,2024-01-01 00:00:00
92,12,Product 92,10.99,2024-01-01 00:00:00
93,13,Product 93,11.99,2024-01-01 00:00:00
94,14,Product 94,12.99,2024-01-01 00:00:00
95,15,Product 95,13.99,2024-01-01 00:00:00
96,16,Product 96,14.99,2024-01-01 00:00:00
97,17,Product 97,15.99,2024-01-01 00:00:00
98,18,Product 98,16.99,2024-01-01 00:00:00
99,19,Product 99,17.99,2024-01-01 00:00:00
100,20,Product 100,18.99,2024-01-01 00:00:00
