id,order_id,product_id,quantity,price
1,1,1,2,9.99
2,2,2,3,10.99
3,3,3,4,11.99
4,4,4,5,12.99
5,5,5,1,13.99
6,6,6,2,14.99
7,7,7,3,15.99
8,8,8,4,16.99
9,9,9,5,17.99
10,10,10,1,18.99
11,11,11,2,19.99
12,12,12,3,20.99
13,13,13,4,21.99
14,14,14,5,22.99
15,15,15,1,23.99
16,16,16,2,24.99
17,17,17,3,25.99
18,18,18,4,26.99
19,19,19,5,27.99
20,20,20,1,28.99
21,21,1,2,29.99
22,22,2,3,30.99
23,23,3,4,31.99
24,24,4,5,32.99
25,25,5,1,33.99
26,26,6,2,34.99
27,27,7,3,35.99
28,28,8,4,36.99
29,29,9,5,37.99
30,30,10,1,38.99
31,31,11,2,39.99
32,32,12,3,40.99
33,33,13,4,41.99
34,34,14,5,42.99
35,35,15,1,43.99
36,36,16,2,44.99
37,37,17,3,45.99
38,38,18,4,46.99
39,39,19,5,47.99
40,40,20,1,48.99
41,41,1,2,49.99
42,42,2,3,50.99
43,43,3,4,51.99
44,44,4,5,52.99
45,45,5,1,53.99
46,46,6,2,54.99
47,47,7,3,55.99
48,48,8,4,56.99
49,49,9,5,57.99
50,50,10,1,58.99
51,1,11,2,59.99
52,2,12,3,60.99
53,3,13,4,61.99
54,4,14,5,62.99
55,5,15,1,63.99
56,6,16,2,64.99
57,7,17,3,65.99
58,8,18,4,66.99
59,9,19,5,67.99
60,10,20,1,68.99
61,11,1,2,69.99
62,12,2,3,70.99
63,13,3,4,71.99
64,14,4,5,72.99
65,15,5,1,73.99
66,16,6,2,74.99
67,17,7,3,75.99
68,18,8,4,76.99
69,19,9,5,77.99
70,20,10,1,78.99
71,21,11,2,79.99
72,22,12,3,80.99
73,23,13,4,81.99
74,24,14,5,82.99
75,25,15,1,83.99
76,26,16,2,84.99
77,27,17,3,85.99
78,28,18,4,86.99
79,29,19,5,87.99
80,30,20,1,88.99
81,31,1,2,89.99
82,32,2,3,90.99
83,33,3,4,91.99
84,34,4,5,92.99
85,35,5,1,93.99
86,36,6,2,94.99
87,37,7,3,95.99
88,38,8,4,96.99
89,39,9,5,97.99
90,40,10,1,98.99
91,41,11,2,9.99
92,42,12,3,10.99
93,43,13,4,11.99
94,44,14,5,12.99
95,45,15,1,13.99
96,46,16,2,14.99
97,47,17,3,15.99
98,48,18,4,16.99
99,49,19,5,17.99
100,50,20,1,18.99
101,1,1,2,19.99
102,2,2,3,20.99
103,3,3,4,21.99
104,4,4,5,22.99
105,5,5,1,23.99
106,6,6,2,24.99
107,7,7,3,25.99
108,8,8,4,26.99
109,9,9,5,27.99
110,10,10,1,28.99
111,11,11,2,29.99
112,12,12,3,30.99
113,13,13,4,31.99
114,14,14,5,32.99
115,15,15,1,33.99
116,16,16,2,34.99
117,17,17,3,35.99
118,18,18,4,36.99
119,19,19,5,37.99
120,20,20,1,38.99
121,21,1,2,39.99
122,22,2,3,40.99
123,23,3,4,41.99
124,24,4,5,42.99
125,25,5,1,43.99
126,26,6,2,44.99
127,27,7,3,45.99
128,28,8,4,46.99
129,29,9,5,47.99
130,30,10,1,48.99
131,31,11,2,49.99
132,32,12,3,50.99
133,33,13,4,51.99
134,34,14,5,52.99
135,35,15,1,53.99
136,36,16,2,54.99
137,37,17,3,55.99
138,38,18,4,56.99
139,39,19,5,57.99
140,40,20,1,58.99
141,41,1,2,59.99
142,42,2,3,60.99
143,43,3,4,61.99
144,44,4,5,62.99
145,45,5,1,63.99
146,46,6,2,64.99
147,47,7,3,65.99
148,48,8,4,66.99
149,49,9,5,67.99
150,50,10,1,68.99
