id,company_id,name,price,created_at
1,1,Product 1,9.99,2024-01-01 00:00:00
2,2,Product 2,10.99,2024-01-01 00:00:00
3,3,Product 3,11.99,2024-01-01 00:00:00
4,4,Product 4,12.99,2024-01-01 00:00:00
5,5,Product 5,13.99,2024-01-01 00:00:00
6,1,Product 6,14.99,2024-01-01 00:00:00
7,2,Product 7,15.99,2024-01-01 00:00:00
8,3,Product 8,16.99,2024-01-01 00:00:00
9,4,Product 9,17.99,2024-01-01 00:00:00
10,5,Product 10,18.99,2024-01-01 00:00:00
11,1,Product 11,19.99,2024-01-01 00:00:00
12,2,Product 12,20.99,2024-01-01 00:00:00
13,3,Product 13,21.99,2024-01-01 00:00:00
14,4,Product 14,22.99,2024-01-01 00:00:00
15,5,Product 15,23.99,2024-01-01 00:00:00
16,1,Product 16,24.99,2024-01-01 00:00:00
17,2,Product 17,25.99,2024-01-01 00:00:00
18,3,Product 18,26.99,2024-01-01 00:00:00
19,4,Product 19,27.99,2024-01-01 00:00:00
20,5,Product 20,28.99,2024-01-01 00:00:00
